genome_id	ncbi_biosample_accession_id	ncbi_lat_lon	lat_lon	date	ncbi_bioproject	domain	phylum	class	order	family	genus	species	collection_date	geographic_location_harmonized	host_harmonized	isolation_source_harmonized	project_name	env_broad_med_local	misc_attributes	google_earth_embeddings
RS_GCF_002949335.1	SAMN08098260	30.6 N 120.2 E	30.6 N 120.2 E	2014-06-25	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella ornithinolytica	2014-06-25	China: Hangzhou	patient	sputum			[collected_by] ZhengBeiwen --- [host_disease_harmonized] stomach perforation	[-0.019930795847750864, -0.2288965782391388, 0.14173010380622836, 0.006151480199923107, 0.003014225297962322, 0.21413302575932336, -0.19986159169550174, -0.003936947327950788, -0.07111111111111111, 0.16000000000000003, 0.19986159169550174, -0.05911572472126105, -0.2069357939254133, -0.03254133025759323, -0.06698961937716265, -0.06698961937716265, -0.17937716262975778, -0.0271280276816609, -0.2069357939254133, 0.003936947327950788, -0.186082276047674, 0.17937716262975778, -0.16633602460592078, -0.003014225297962322, -0.1929104190695886, 0.2679584775086506, -0.01574778931180315, -0.05173394848135333, 0.13588619761630144, 0.13016532103037293, 0.05173394848135333, -0.044844290657439445, -0.10340638216070744, -0.044844290657439445, -0.04822760476739715, 0.24415224913494812, -0.10340638216070744, -0.03254133025759323, 0.06698961937716265, 0.2069357939254133, -0.1085121107266436, 0.10340638216070744, 0.03844675124951941, 0.0629911572472126, 0.03254133025759323, 0.11374086889657825, -0.01384083044982699, 0.16633602460592078, -0.0015378700499807767, 0.05173394848135333, -0.07972318339100345, 0.1085121107266436, -0.05173394848135333, 0.044844290657439445, 0.17279507881584008, -0.22145328719723184, -0.12456747404844293, 0.0629911572472126, -0.07535563244905807, 0.07111111111111111, -0.09842368319876971, -0.16000000000000003, 0.03543252595155709, 0.12456747404844293]
GB_GCA_003163995.1	SAMN08179994	68.3533 N 19.0476 E	68.3533 N 19.0476 E	2012-07-20	PRJNA386568	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__SbA1	g__Bog-209	s__Bog-209 sp003162935	2012-07-20	Sweden: Stordalen Mire		permafrost active layer soil			[altitude] 363 m --- [depth] 0.05-0.08 --- [environmental-sample] 1 --- [isolate] bog_376 --- [metagenome-source] peat metagenome --- [metagenomic] 1 --- [name] note --- [sample_type] metagenomic assembly --- [value] This BioSample is a metagenomic assembly obtained from the 20120700_S1M metagenome BioSample: SAMN07125044.	[-0.08421376393694734, -0.03844675124951941, -0.03254133025759323, -0.2679584775086506, 0.04822760476739715, -0.2519646289888504, -0.0629911572472126, 0.11909265667051133, 0.16000000000000003, 0.0005536332179930795, -0.01384083044982699, 0.002214532871972318, -0.19986159169550174, -0.03844675124951941, -0.24415224913494812, 0.01574778931180315, 0.17279507881584008, -0.17937716262975778, -0.012056901191849288, 0.04822760476739715, 0.16633602460592078, 0.08421376393694734, 0.01574778931180315, -0.2364628988850442, -0.16633602460592078, 0.16633602460592078, 0.03543252595155709, -0.07535563244905807, 0.16633602460592078, -0.0629911572472126, 0.06698961937716265, -0.03844675124951941, 0.03254133025759323, -0.16633602460592078, -0.041584006151480196, 0.16000000000000003, 0.24415224913494812, 0.1929104190695886, -0.11909265667051133, -0.000984236831987697, -0.01574778931180315, 0.0629911572472126, -0.33685505574778934, -0.002214532871972318, -0.012056901191849288, 0.11909265667051133, 0.041584006151480196, -0.2679584775086506, 0.05173394848135333, -0.08882737408688965, 0.09842368319876971, -0.00024605920799692423, -0.07111111111111111, 0.008858131487889272, 0.044844290657439445, 0.10340638216070744, -0.07535563244905807, -0.11909265667051133, -0.04822760476739715, -0.008858131487889272, -0.10340638216070744, 0.04822760476739715, 0.1085121107266436, 0.07535563244905807]
RS_GCF_002911455.1	SAMN08395532	47.238848 N 38.882676 E	47.238848 N 38.882676 E	1972	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Vibrionaceae	g__Vibrio	s__Vibrio cholerae	1972	Russia: Taganrog	Homo sapiens				[collected_by] Research Institute for Plague Control --- [host_disease_harmonized] Cholera --- [serotype] O1 --- [serovar] El Tor	[-0.007443291041906958, -0.28444444444444444, 0.03254133025759323, -0.11374086889657825, 0.08421376393694734, -0.13016532103037293, -6.151480199923106e-05, 0.003936947327950788, 0.022206843521722412, -0.17937716262975778, 0.2761399461745483, -0.019930795847750864, -0.13588619761630144, -0.186082276047674, -0.13588619761630144, -0.01384083044982699, -0.11909265667051133, 0.1085121107266436, -0.06698961937716265, 0.14769703960015382, -0.07972318339100345, 0.024605920799692427, -0.09842368319876971, 0.09842368319876971, 0.05173394848135333, 0.34602076124567477, 0.07111111111111111, -0.10340638216070744, 0.14769703960015382, -0.044844290657439445, -0.13016532103037293, -0.16633602460592078, -0.003936947327950788, 0.05173394848135333, 0.19986159169550174, 0.04822760476739715, -0.3014225297962323, -0.13016532103037293, 0.003936947327950788, -0.15378700499807765, -0.17937716262975778, -0.13588619761630144, 0.15378700499807765, 0.003014225297962322, -0.03844675124951941, 0.08882737408688965, 0.044844290657439445, 0.0629911572472126, 0.14173010380622836, -0.11374086889657825, -0.1085121107266436, 0.044844290657439445, 0.044844290657439445, 0.05536332179930796, 0.10340638216070744, -0.16633602460592078, 0.12456747404844293, -0.01574778931180315, -0.05911572472126105, 0.05173394848135333, 0.05173394848135333, -0.024605920799692427, -0.17279507881584008, 0.029773164167627833]
RS_GCF_006366595.1	SAMN08471742	30.16 N 120.115 E	30.16 N 120.115 E	2013-05-05	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter baumannii	2013-05-05	China:Hangzhou	Homo sapiens	sputum			[collected_by] Lihua --- [host_disease_harmonized] cerebral trauma	[-0.041584006151480196, -0.2069357939254133, -0.08421376393694734, 0.05536332179930796, 0.03254133025759323, 0.11374086889657825, 0.006151480199923107, 0.11909265667051133, -0.0629911572472126, 0.12456747404844293, 0.16000000000000003, -0.11374086889657825, -0.0271280276816609, -0.11909265667051133, 0.012056901191849288, -0.044844290657439445, 0.007443291041906958, -0.12456747404844293, -0.04822760476739715, -0.007443291041906958, -0.06698961937716265, 0.10340638216070744, -0.09842368319876971, 0.07111111111111111, -0.17279507881584008, 0.05173394848135333, 0.03254133025759323, -0.17279507881584008, 0.09842368319876971, 0.019930795847750864, -0.08421376393694734, 0.17937716262975778, 0.00024605920799692423, -0.0629911572472126, -0.029773164167627833, 0.15378700499807765, 0.01574778931180315, -0.1929104190695886, 0.01384083044982699, 0.31009611687812383, -0.017777777777777778, -0.03254133025759323, 0.2069357939254133, -0.004982698961937716, -0.13588619761630144, 0.19986159169550174, -0.13588619761630144, 0.2288965782391388, -0.17937716262975778, -0.07535563244905807, -0.03844675124951941, 0.12456747404844293, -0.21413302575932336, -0.004982698961937716, 0.13016532103037293, -0.16633602460592078, -0.07111111111111111, 0.16000000000000003, 0.0271280276816609, -0.022206843521722412, -0.09356401384083046, -0.2599000384467512, 0.07535563244905807, 0.29287197231833906]
RS_GCF_003117575.1	SAMN08514234	30.61 N 96.35 W	30.61 N 96.35 W	2014	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica	2014	USA: Texas	Equus ferus caballus	feces			[Antigenic formulae] 3,10:e,h:1,6 --- [collected_by] Texas A&M University --- [host_disease_harmonized] Salmonellosis --- [serovar] Anatum --- [sub_species] enterica	[-0.05911572472126105, -0.17279507881584008, 0.16633602460592078, 0.13016532103037293, 0.003936947327950788, -0.16633602460592078, 0.05173394848135333, -0.03844675124951941, -0.2599000384467512, -0.044844290657439445, -0.14173010380622836, -0.0271280276816609, -0.21413302575932336, -0.08421376393694734, -0.24415224913494812, -0.14173010380622836, 0.07535563244905807, 0.16633602460592078, 0.019930795847750864, -0.05911572472126105, 0.01384083044982699, 0.08421376393694734, -0.21413302575932336, -0.07111111111111111, -0.006151480199923107, 0.09356401384083046, -0.044844290657439445, 0.03543252595155709, -0.10340638216070744, -0.004982698961937716, 0.2069357939254133, -0.13016532103037293, 0.04822760476739715, -0.07111111111111111, 0.012056901191849288, 0.012056901191849288, -0.186082276047674, -0.10340638216070744, -0.10340638216070744, -0.05911572472126105, -0.03543252595155709, -0.11374086889657825, 0.022206843521722412, 0.022206843521722412, 0.029773164167627833, 0.2364628988850442, -0.11909265667051133, -0.024605920799692427, 0.09842368319876971, 0.017777777777777778, -0.12456747404844293, 0.2288965782391388, -0.24415224913494812, 0.16000000000000003, 0.21413302575932336, -0.1929104190695886, 0.03254133025759323, 0.13016532103037293, 0.14769703960015382, -0.17279507881584008, -0.03844675124951941, -0.0629911572472126, -0.11909265667051133, 0.05173394848135333]
GB_GCA_003557385.1	SAMN08574582	52.11 N 79.17 E	52.11 N 79.17 E	2010-07	PRJNA434545	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA7960	g__PUPG01	s__PUPG01 sp003557385	2010-07	Russia: Kulunda Steppe		hypersaline soda lake sediment			[alkalinity (carbonate/bicarbonate)] 0.68M --- [altitude] 140 m --- [depth] top layer --- [environment_biome_harmonized] soda lake --- [environment_feature_harmonized] Kulunda Steppe --- [environment_material_harmonized] sediment --- [environmental-sample] True --- [isolate] CSSed10_38 --- [metagenome-source] soda lake metagenome --- [metagenomic] True --- [note] This BioSample is a metagenomic assembly obtained from the CSSed10 metagenome BioSample: SAMN08563969. --- [pH] 10.1 --- [salinity] 70g/L --- [sample_type] metagenomic assembly	[-0.022206843521722412, -0.16000000000000003, -0.14769703960015382, -0.17937716262975778, 0.022206843521722412, 0.017777777777777778, -0.041584006151480196, 0.16633602460592078, -0.024605920799692427, 0.12456747404844293, -0.03254133025759323, -0.15378700499807765, -0.029773164167627833, -0.06698961937716265, -0.16000000000000003, 0.2599000384467512, 0.044844290657439445, -0.186082276047674, 0.14173010380622836, 0.0629911572472126, 0.01384083044982699, 0.10340638216070744, -0.06698961937716265, 0.022206843521722412, -0.14769703960015382, -0.05536332179930796, 0.17937716262975778, -0.17279507881584008, 0.2288965782391388, -0.2519646289888504, -0.11909265667051133, 0.16633602460592078, 0.0629911572472126, -0.03543252595155709, -0.07972318339100345, 0.16000000000000003, 0.05911572472126105, -0.07972318339100345, -0.05536332179930796, 0.16633602460592078, -0.14173010380622836, -0.022206843521722412, 0.03844675124951941, -0.04822760476739715, -0.03844675124951941, 0.2519646289888504, -0.14769703960015382, 0.07535563244905807, -0.09842368319876971, -0.22145328719723184, 0.22145328719723184, -0.07111111111111111, -0.13588619761630144, -0.029773164167627833, -0.03254133025759323, -0.022206843521722412, 0.03543252595155709, 0.05911572472126105, -0.017777777777777778, 0.003014225297962322, -0.1085121107266436, -0.13588619761630144, -0.0271280276816609, 0.2679584775086506]
RS_GCF_018122535.1	SAMN08637080	46.10 N 14.47 E	46.10 N 14.47 E	2006-01	PRJNA224116	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus subtilis	2006-01	Slovenia: River Sava		Sava Riverbank, Slovenia			[biomaterial_provider] Mandic Mulec lab, Chair of Microbiology, Vecna pot 111, 1000 Ljubljana, PS collection --- [collected_by] Polonca Stefanic --- [depth] 10 cm --- [environment_biome_harmonized] riverbank --- [identified_by] Polonca Stefanic --- [sample_type] bacterial isolate --- [temp] 5	[-0.17279507881584008, -0.19986159169550174, -0.05911572472126105, -0.08882737408688965, 0.17937716262975778, 0.019930795847750864, 0.21413302575932336, -0.03844675124951941, 0.1085121107266436, -0.05173394848135333, -0.024605920799692427, -0.01384083044982699, -0.12456747404844293, 0.1085121107266436, -0.041584006151480196, 0.05536332179930796, -0.07535563244905807, 0.0629911572472126, 0.07111111111111111, 0.1085121107266436, -0.09356401384083046, -0.11909265667051133, 0.07111111111111111, 0.1085121107266436, 0.10340638216070744, -0.08421376393694734, 0.003936947327950788, -0.31009611687812383, 0.22145328719723184, 0.003936947327950788, -0.11909265667051133, -0.13588619761630144, 0.09356401384083046, 0.024605920799692427, -0.09842368319876971, 0.2069357939254133, -0.1929104190695886, -0.05911572472126105, -0.07972318339100345, 0.16000000000000003, 0.07111111111111111, 0.16000000000000003, -0.022206843521722412, -0.019930795847750864, -0.11909265667051133, -0.15378700499807765, 0.07111111111111111, -0.03254133025759323, 0.2364628988850442, -0.17279507881584008, -0.12456747404844293, 0.09842368319876971, -0.007443291041906958, -0.029773164167627833, 0.28444444444444444, 0.012056901191849288, -0.16000000000000003, -0.13016532103037293, -0.16633602460592078, -0.1085121107266436, 0.0271280276816609, -0.15378700499807765, -0.05173394848135333, -0.13588619761630144]
RS_GCF_003311705.1	SAMN09477757	16.51 N 96.11 E	16.51 N 96.11 E	2017-03-08	PRJNA224116	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium tuberculosis	2017-03-08	Myanmar: Yangon	Homo sapiens	cerebrospinal fluid			[collected_by] Department of Medical Research --- [host_age] 41 --- [host_disease_harmonized] Tuberculosis --- [host_disease_outcome] Death --- [host_disease_state_harmonized] Meningitis --- [host_sex] male --- [orgmod-note] multidrug resistance	[-0.041584006151480196, -0.044844290657439445, 0.017777777777777778, -0.05536332179930796, -0.14769703960015382, 0.11374086889657825, 0.15378700499807765, -0.03543252595155709, 0.010396001537870049, 0.3014225297962323, 0.041584006151480196, 0.003014225297962322, -0.2069357939254133, -0.04822760476739715, 0.03543252595155709, 0.2599000384467512, -0.2364628988850442, 0.14769703960015382, -0.1085121107266436, 0.007443291041906958, -0.29287197231833906, 0.21413302575932336, -0.05173394848135333, 0.12456747404844293, 0.17937716262975778, 0.029773164167627833, 0.03844675124951941, -0.0271280276816609, -0.16633602460592078, -0.017777777777777778, 0.07111111111111111, 0.029773164167627833, -0.15378700499807765, -0.08421376393694734, 0.11374086889657825, 0.11909265667051133, -0.044844290657439445, 0.08421376393694734, 0.2364628988850442, 0.11909265667051133, 0.09356401384083046, 0.03254133025759323, -0.14173010380622836, 0.13588619761630144, -0.041584006151480196, 0.22145328719723184, 0.029773164167627833, 0.06698961937716265, -0.044844290657439445, 0.10340638216070744, 0.13016532103037293, 0.14173010380622836, 0.000984236831987697, -0.03844675124951941, 0.2069357939254133, 0.0271280276816609, 0.17279507881584008, -0.010396001537870049, -0.11909265667051133, -0.186082276047674, 0.0629911572472126, -0.007443291041906958, -0.041584006151480196, 0.024605920799692427]
RS_GCF_003629345.1	SAMN09478146	58.3632291 N 26.6818143 E	58.3632291 N 26.6818143 E	2014	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	2014	Estonia	bovine				[environment_biome_harmonized] veterinary --- [environment_feature_harmonized] bovine --- [environment_material_harmonized] milk	[-0.07972318339100345, -0.09842368319876971, -0.029773164167627833, -0.08882737408688965, 0.041584006151480196, -0.13016532103037293, 0.07535563244905807, 0.003014225297962322, -0.03254133025759323, -0.1085121107266436, 0.15378700499807765, -0.03543252595155709, -0.03254133025759323, -0.0629911572472126, -0.33685505574778934, -0.24415224913494812, 0.01384083044982699, 0.1085121107266436, 0.05536332179930796, 0.14769703960015382, -0.029773164167627833, 0.03543252595155709, -0.11374086889657825, 0.08421376393694734, 0.08421376393694734, 0.14769703960015382, 0.2069357939254133, -0.05536332179930796, -0.012056901191849288, -0.09356401384083046, 0.05173394848135333, 0.10340638216070744, 0.024605920799692427, 0.08421376393694734, 0.14769703960015382, 0.04822760476739715, -0.17937716262975778, 0.09842368319876971, -0.019930795847750864, -0.16000000000000003, -0.15378700499807765, -0.14769703960015382, 0.05173394848135333, -0.024605920799692427, 0.14173010380622836, 0.14173010380622836, -0.17937716262975778, -0.1085121107266436, 0.2069357939254133, -0.09842368319876971, -0.31009611687812383, 0.13588619761630144, 0.0629911572472126, -0.04822760476739715, 0.2761399461745483, -0.11909265667051133, 0.11374086889657825, 0.022206843521722412, -0.05173394848135333, -0.13588619761630144, 0.10340638216070744, -0.03844675124951941, -0.17937716262975778, 0.07972318339100345]
GB_GCA_015660075.1	SAMN09926277	27.51583333 N 111.425 W	27.51583333 N 111.425 W	2004-07-11	PRJNA488180	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	o__Poseidoniales	f__Thalassarchaeaceae	g__MGIIb-O1	s__MGIIb-O1 sp002498525	2004-07-11	USA:Guaymas Basin		Guaymas Basin Hydrothermal plume metagenome			[assembly_method_and_version] MEGAHIT v1.1.2 --- [completeness_estimated] 70.27 --- [contamination_estimated] 0 --- [derived-from] This BioSample is a metagenomic assembly obtained from the publicly available reads deposited in SRA accessions: SRR3577362 --- [environmental-sample] True --- [genome_coverage] 99.7 --- [isolate] SZUA-1039 --- [mapping_method_and_version] Bowtie 2 v2.2.8 --- [metagenome-source] hydrothermal vent metagenome --- [metagenomic] True --- [quality_assessment_method_and_version] CheckM v1.0.7 --- [sample_type] metagenomic assembly	
RS_GCF_003588005.1	SAMN09947983	46.8182 N 8.2275 E	46.8182 N 8.2275 E	2013-06-05	PRJNA224116	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Listeriaceae	g__Listeria	s__Listeria monocytogenes_B	2013-06-05	Switzerland	Homo sapiens	blood			[collected_by] Institute for Food Safety and Hygiene, Vetsuisse Faculty, University of Zurich --- [host_tissue_sampled] blood --- [sample_type] bacterial isolate --- [serotype] 4b	[-0.04822760476739715, -0.010396001537870049, 0.044844290657439445, -0.05536332179930796, -0.004982698961937716, -0.19986159169550174, 0.03254133025759323, 0.22145328719723184, 0.13016532103037293, 0.1085121107266436, -0.3278123798539023, -0.0629911572472126, 0.07111111111111111, -0.019930795847750864, -0.08421376393694734, 0.04822760476739715, 0.12456747404844293, 0.186082276047674, 0.041584006151480196, -0.008858131487889272, 0.017777777777777778, 0.16633602460592078, -0.04822760476739715, 0.0271280276816609, 0.05536332179930796, -0.10340638216070744, -0.13588619761630144, -0.2519646289888504, 0.05911572472126105, 0.14173010380622836, -0.004982698961937716, -0.07535563244905807, 0.09356401384083046, 0.17937716262975778, -0.07535563244905807, -0.012056901191849288, -0.13588619761630144, 0.2069357939254133, -0.14769703960015382, 0.017777777777777778, 0.041584006151480196, 0.3188927335640138, -0.14173010380622836, -0.17937716262975778, -0.09842368319876971, 0.19986159169550174, 0.017777777777777778, 0.12456747404844293, -0.041584006151480196, -0.2679584775086506, 0.10340638216070744, -0.0271280276816609, 0.041584006151480196, 0.07972318339100345, 0.14173010380622836, 0.03543252595155709, -0.04822760476739715, 0.09356401384083046, -0.12456747404844293, 0.06698961937716265, 0.17937716262975778, -0.03543252595155709, -0.0629911572472126, -0.05536332179930796]
RS_GCF_003596805.1	SAMN10065328	34.64 N 102.72 W	34.64 N 102.72 W	2011-03	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica	2011-03	USA: Texas	bovine	Subiliac Lymph Node			[collected_by] Texas Tech University --- [serovar] Montevideo --- [subspecies] enterica	[-0.01384083044982699, -0.36472126105344094, 0.17279507881584008, 0.05536332179930796, 0.003014225297962322, 0.01384083044982699, -0.05536332179930796, -0.07111111111111111, -0.2364628988850442, -0.15378700499807765, -0.03844675124951941, -0.07972318339100345, -0.05911572472126105, -0.11374086889657825, -0.12456747404844293, -0.13588619761630144, -0.11374086889657825, 0.044844290657439445, 0.05173394848135333, -0.13588619761630144, -0.11374086889657825, -0.07111111111111111, -0.0629911572472126, -0.15378700499807765, -0.1929104190695886, 0.21413302575932336, 0.029773164167627833, -0.04822760476739715, -0.03543252595155709, 0.22145328719723184, 0.03543252595155709, -0.15378700499807765, 0.12456747404844293, -0.17937716262975778, 0.04822760476739715, 0.041584006151480196, -0.05536332179930796, -0.13588619761630144, -0.186082276047674, 0.03543252595155709, -0.11374086889657825, -0.17937716262975778, 0.044844290657439445, -0.1929104190695886, 0.044844290657439445, 0.19986159169550174, 0.017777777777777778, 0.03543252595155709, 0.044844290657439445, -0.28444444444444444, 0.024605920799692427, 0.16633602460592078, -0.17937716262975778, 0.03543252595155709, 0.07111111111111111, -0.0629911572472126, -0.186082276047674, -0.01574778931180315, -0.03844675124951941, -0.007443291041906958, 0.05173394848135333, -0.002214532871972318, 0.07111111111111111, 0.0629911572472126]
RS_GCF_004169975.1	SAMN10142158	47.55839 N 7.57327 E	47.55839 N 7.57327 E	2010	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella pneumophila	2010	Switzerland:Basel		clinical sample			[collected_by] USB	[-0.04822760476739715, -0.3188927335640138, 0.1085121107266436, -0.07972318339100345, 0.13016532103037293, -0.044844290657439445, 0.024605920799692427, -0.03254133025759323, -0.14769703960015382, 0.03543252595155709, 0.186082276047674, 0.044844290657439445, -0.01574778931180315, 0.002214532871972318, -0.16633602460592078, -0.044844290657439445, 0.17279507881584008, 0.17279507881584008, 0.03543252595155709, 0.06698961937716265, -0.10340638216070744, -0.08882737408688965, -0.0271280276816609, 0.0271280276816609, 0.006151480199923107, 0.17937716262975778, 0.041584006151480196, 0.04822760476739715, 0.024605920799692427, -0.041584006151480196, -0.12456747404844293, -0.1085121107266436, 0.0271280276816609, -0.029773164167627833, 0.09842368319876971, -0.14173010380622836, -0.39369473279507883, -0.05536332179930796, -0.04822760476739715, 0.15378700499807765, -0.08882737408688965, -0.14173010380622836, 0.017777777777777778, -0.09842368319876971, 0.012056901191849288, 0.11374086889657825, -0.05536332179930796, 0.029773164167627833, 0.2288965782391388, -0.22145328719723184, -0.09356401384083046, 0.2288965782391388, -0.017777777777777778, -0.03543252595155709, 0.2069357939254133, -0.24415224913494812, 0.14173010380622836, -0.006151480199923107, 0.11909265667051133, -0.1085121107266436, 0.09842368319876971, 0.01384083044982699, -0.03254133025759323, -0.13016532103037293]
RS_GCF_004123725.1	SAMN10450162	52.13 N 21.00 E	52.13 N 21.00 E	2016-01-01	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cronobacter	s__Cronobacter condimenti	2016-01-01	Poland		radish sprouts			[sample_type] single cell	[-0.16633602460592078, -0.22145328719723184, -0.13588619761630144, -0.10340638216070744, 0.05536332179930796, -0.11374086889657825, 0.09356401384083046, 0.1085121107266436, 0.04822760476739715, -0.13588619761630144, 0.186082276047674, -0.05536332179930796, -0.07111111111111111, 0.03254133025759323, -0.13016532103037293, -0.044844290657439445, -0.186082276047674, 0.17279507881584008, 0.024605920799692427, 0.14173010380622836, -0.13016532103037293, -0.13588619761630144, -0.004982698961937716, 0.10340638216070744, 0.11909265667051133, 0.14769703960015382, 0.16633602460592078, -0.21413302575932336, 0.13588619761630144, 0.05911572472126105, -0.24415224913494812, -0.06698961937716265, 0.0271280276816609, 0.08882737408688965, -0.002214532871972318, 0.2364628988850442, -0.17279507881584008, -0.1085121107266436, -0.03844675124951941, 0.000984236831987697, 0.04822760476739715, 0.04822760476739715, -0.01384083044982699, -0.06698961937716265, -0.08421376393694734, -0.10340638216070744, 0.1085121107266436, 0.044844290657439445, 0.3188927335640138, -0.24415224913494812, -0.16633602460592078, 0.1929104190695886, 0.08421376393694734, -0.1085121107266436, 0.15378700499807765, -0.041584006151480196, -0.006151480199923107, -0.07111111111111111, -0.05536332179930796, -0.05536332179930796, 0.024605920799692427, -0.11909265667051133, -0.03844675124951941, -0.0629911572472126]
GB_GCA_007119405.1	SAMN10606130	52.11 N 79.17 E	52.11 N 79.17 E	2016-07	PRJNA453733	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__SKPT01	s__SKPT01 sp007119405	2016-07	Russia: Kulunda Steppe		hypersaline soda lake sediment			[alkalinity (carbonate/bicarbonate)] 0.62 M --- [environmental-sample] 1 --- [isolate] CSSed162cmA_392 --- [metagenome-source] soda lake metagenome --- [metagenomic] 1 --- [note] This BioSample is a metagenomic assembly obtained from the CS-Sed16-2cmA metagenome BioSample: SAMN08987117. --- [pH] 9.9 --- [salinity] 55 g/L --- [sample_type] metagenomic assembly	[-0.022206843521722412, -0.16000000000000003, -0.14769703960015382, -0.17937716262975778, 0.022206843521722412, 0.017777777777777778, -0.041584006151480196, 0.16633602460592078, -0.024605920799692427, 0.12456747404844293, -0.03254133025759323, -0.15378700499807765, -0.029773164167627833, -0.06698961937716265, -0.16000000000000003, 0.2599000384467512, 0.044844290657439445, -0.186082276047674, 0.14173010380622836, 0.0629911572472126, 0.01384083044982699, 0.10340638216070744, -0.06698961937716265, 0.022206843521722412, -0.14769703960015382, -0.05536332179930796, 0.17937716262975778, -0.17279507881584008, 0.2288965782391388, -0.2519646289888504, -0.11909265667051133, 0.16633602460592078, 0.0629911572472126, -0.03543252595155709, -0.07972318339100345, 0.16000000000000003, 0.05911572472126105, -0.07972318339100345, -0.05536332179930796, 0.16633602460592078, -0.14173010380622836, -0.022206843521722412, 0.03844675124951941, -0.04822760476739715, -0.03844675124951941, 0.2519646289888504, -0.14769703960015382, 0.07535563244905807, -0.09842368319876971, -0.22145328719723184, 0.22145328719723184, -0.07111111111111111, -0.13588619761630144, -0.029773164167627833, -0.03254133025759323, -0.022206843521722412, 0.03543252595155709, 0.05911572472126105, -0.017777777777777778, 0.003014225297962322, -0.1085121107266436, -0.13588619761630144, -0.0271280276816609, 0.2679584775086506]
GB_GCA_004017955.1	SAMN10686850	12.2546855080872 N 37.2642941214144 E	12.25468550 N 37.26429412 E	2014-11-22	PRJNA453501	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Mesorhizobium	s__Mesorhizobium sp003952425	2014-11-22	Ethiopia: Amhara, North Gondar	Cicer arietinum	root nodule			[altitude] 1848.967529 m --- [collected_by] USAID Feed the Future Innovation Lab for Climate Resilient Chickpea --- [environmental-sample] 1 --- [isolate] N.Ca.ET.049.03.1 --- [metagenome-source] plant metagenome --- [metagenomic] 1 --- [note] This BioSample is a metagenomic assembly obtained from the plant metagenome BioSample: SAMN08986422 --- [sample_type] metagenomic assembly	[0.03844675124951941, -0.12456747404844293, 0.1929104190695886, -0.0629911572472126, -0.11374086889657825, -0.07535563244905807, -0.07972318339100345, 0.05911572472126105, 0.07111111111111111, -0.1085121107266436, 0.05536332179930796, -0.029773164167627833, -0.2599000384467512, 0.04822760476739715, 0.07535563244905807, -0.012056901191849288, -0.19986159169550174, 0.0629911572472126, -0.044844290657439445, 0.029773164167627833, -0.07972318339100345, 0.1929104190695886, 0.2288965782391388, 0.022206843521722412, -0.09356401384083046, -0.16000000000000003, 0.07535563244905807, 0.0629911572472126, -0.09842368319876971, 0.012056901191849288, -0.05911572472126105, 0.13016532103037293, -0.22145328719723184, -0.10340638216070744, 0.010396001537870049, -0.13588619761630144, 0.008858131487889272, -0.008858131487889272, 0.22145328719723184, -0.029773164167627833, -0.06698961937716265, -0.03543252595155709, -0.3014225297962323, -0.017777777777777778, -0.01574778931180315, -0.08421376393694734, 0.01384083044982699, -0.04822760476739715, -0.24415224913494812, -0.09842368319876971, 0.15378700499807765, 0.22145328719723184, -0.05536332179930796, -0.05536332179930796, 0.22145328719723184, 0.13588619761630144, 0.022206843521722412, 0.029773164167627833, -0.28444444444444444, -0.22145328719723184, -0.10340638216070744, -0.05173394848135333, 0.017777777777777778, 0.007443291041906958]
